ISBN,Title,Author,Genre,Publication Year,Copies Available,Acquisition Date,Status,ISBN_valid
978-1-80500-985-6,Cross-group intermediate middleware,Mrs Katherine Khan,Children,2016,5,2024-05-31,Reserved,True
978-1-4107-3720-5,Progressive multimedia capacity,Eleanor Williams,Fiction,2009,0,2019-09-05,Checked Out,True
978-1-4806-3446-6,Profound 6thgeneration complexity,Donna Payne,Young Adult,1982,0,2016-01-05,Damaged,True
978-1-260-18803-5,Progressive bifurcated frame,Mrs Sylvia Walker,Non-Fiction,2004,0,2015-11-30,Damaged,True
978-1-81494-411-7,Decentralized hybrid system engine,Wayne Armstrong-Ali,Young Adult,1986,1,2022-01-14,Reserved,True
978-1-09-649654-0,Multi-layered regional application,Claire Horton,Fiction,1988,4,2024-06-23,Missing,True
978-1-350-15348-6,Horizontal client-driven paradigm,Mr Carl Moore,Young Adult,2005,2,2020-09-29,Available,True
978-0-909071-70-7,De-engineered radical algorithm,Molly Thomas,Young Adult,1986,8,2022-07-28,Checked Out,True
978-0-278-09119-1,Customer-focused exuding migration,Neil Hall,Children,1967,7,2024-02-17,Missing,True
978-1-67194-955-3,Open-source neutral contingency,Susan Ali,Young Adult,1981,0,2016-04-21,Checked Out,True
978-0-387-53596-8,Multi-tiered coherent customer loyalty,Charles Robinson,Reference,1986,0,2019-08-28,Damaged,True
978-0-8377-9295-8,Phased executive alliance,Dr Francis Jackson,Reference,1991,7,2024-12-08,Checked Out,True
978-0-288-55298-9,Ameliorated 6thgeneration capacity,Dr Dominic Collins,Children,1971,10,2016-07-16,Available,True
978-1-80484-951-4,Customizable 24hour hierarchy,Dr June Robson,Non-Fiction,1979,5,2023-10-15,Missing,True
978-1-185-67886-4,Up-sized didactic conglomeration,Alexander Cooper-Dobson,Reference,1976,7,2017-02-22,Damaged,True
978-1-244-43807-1,Organic executive firmware,Patricia Harris,Fiction,1970,5,2019-02-10,Missing,True
978-1-79476-441-5,Monitored actuating standardization,Dr Dylan Davies,Non-Fiction,2018,4,2025-01-30,Missing,True
978-0-266-25287-0,Universal background interface,Leigh Harris,Reference,1960,9,2024-10-26,Missing,True
978-1-987963-57-1,Programmable executive info-mediaries,Jane Reed,Children,1995,1,2017-10-08,Damaged,True
978-1-130-29990-8,Front-line 4thgeneration database,Damien Atkinson-Jones,Children,2024,1,2016-01-17,Missing,True
978-1-250-57521-0,Fundamental non-volatile matrices,Mary Hudson-Collins,Children,1990,6,2020-01-04,Reserved,True
978-1-67637-607-1,Networked zero administration throughput,Alexandra Campbell,Children,2005,4,2018-09-17,Reserved,True
978-0-225-88523-1,Realigned even-keeled capability,Miss Kim Shah,Non-Fiction,1980,9,2021-07-16,Available,True
978-1-4018-0768-9,Customizable discrete adapter,Joshua Hunt-Sutton,Fiction,1983,1,2015-10-29,Reserved,True
978-1-149-49236-9,Decentralized bottom-line website,Phillip Nicholls,Non-Fiction,1988,2,2023-08-20,Missing,True
978-1-313-34117-2,Balanced client-server Local Area Network,Kim Atkinson,Young Adult,2013,8,2018-04-13,Reserved,True
978-1-328-68717-3,Streamlined modular functionalities,Mr Colin Law,Children,1982,7,2018-06-18,Available,True
978-0-206-15598-8,Reduced value-added contingency,Stuart Price,Fiction,2014,9,2023-09-06,Damaged,True
978-0-235-65515-2,Vision-oriented bottom-line open system,Mandy Graham,Young Adult,1994,0,2023-08-04,Available,True
978-0-06-758588-7,Virtual discrete focus group,Ms Maureen Marshall,Children,1998,7,2016-04-18,Available,True
978-0-11-688028-4,Customizable context-sensitive groupware,Edward Phillips,Reference,1979,6,2019-05-20,Damaged,True
978-0-442-62047-9,Cross-group uniform task-force,Sara Armstrong-Rhodes,Non-Fiction,1993,0,2016-03-24,Checked Out,True
978-1-953433-06-0,Object-based interactive initiative,Valerie Cook,Reference,1953,0,2024-06-21,Reserved,True
978-1-923822-05-4,Advanced contextually-based help-desk,Mr Keith Robinson,Fiction,2009,7,2023-06-28,Available,True
978-1-83053-789-8,Integrated 3rdgeneration parallelism,Phillip Oliver,Young Adult,1980,4,2016-12-15,Damaged,True
978-1-86466-593-2,Multi-lateral cohesive encryption,Justin Jones,Fiction,1981,1,2016-10-12,Damaged,True
978-0-227-01192-8,Stand-alone scalable definition,Dr Ross Smith,Fiction,1978,10,2022-05-09,Reserved,True
978-0-250-19227-4,Switchable bandwidth-monitored orchestration,Dr Josephine Wood,Fiction,2012,9,2015-12-01,Missing,True
978-0-537-18098-7,Digitized 3rdgeneration functionalities,Mr Hugh O'Connor,Non-Fiction,1961,6,2020-05-10,Reserved,True
978-1-312-84794-1,Fully-configurable directional artificial intelligence,Ms Hannah Gibbons,Children,2011,5,2018-05-10,Checked Out,True
978-1-5074-2178-9,Proactive multi-state success,Lauren Parker,Young Adult,1994,4,2024-11-17,Checked Out,True
978-0-575-83649-5,Synergized client-driven open architecture,Josh Hunt-Little,Reference,1975,2,2024-07-20,Missing,True
978-0-630-07218-9,Down-sized well-modulated infrastructure,Kyle Smith-Finch,Young Adult,2012,10,2024-04-26,Missing,True
978-0-18-108864-6,Devolved regional flexibility,Connor Coleman,Children,1961,5,2024-01-11,Available,True
978-1-935494-10-2,Seamless modular synergy,Dr June King,Young Adult,2000,8,2023-11-10,Missing,True
978-1-960870-99-5,Secured value-added database,Miss Diana Wade,Fiction,1994,5,2024-11-01,Damaged,True
9780177077234,Switchable 5thgeneration secured line,Allan Crawford,Fiction,1991,5,2018-09-21,Damaged,True
978-0-03-159157-9,Exclusive bi-directional function,Mr Stephen Evans,Young Adult,1960,6,2019-10-01,Damaged,True
978-0-505-03518-9,Expanded multimedia strategy,Mrs Donna King,Reference,2024,4,2015-12-18,Available,True
978-0-2283-2800-1,Open-architected foreground hardware,Miss Jennifer Robertson,Reference,1980,6,2023-06-23,Checked Out,True
9781239612424,Switchable zero-defect capacity,Nicholas Williams,Young Adult,1982,6,2019-10-13,Available,True
978-0-660-53894-5,Function-based foreground concept,Cheryl Lambert-Dawson,Children,2022,5,2024-05-24,Reserved,True
978-0-237-15357-1,Right-sized global emulation,Damien Burns,Fiction,2002,1,2025-06-16,Available,True
978-0-8151-5473-0,Multi-tiered high-level core,Jemma Smith,Non-Fiction,1976,9,2019-10-21,Reserved,True
978-0-03-546128-1,Advanced heuristic product,Elaine Allen-Spencer,Young Adult,1974,2,2024-01-19,Checked Out,True
978-0-556-00101-0,Implemented systemic Graphical User Interface,Jodie Doherty-Smith,Children,1997,1,2025-06-23,Missing,True
978-1-4826-2329-1,Switchable next generation installation,Anthony Bevan-Heath,Non-Fiction,1997,6,2025-04-01,Missing,True
978-0-591-24704-6,Upgradable content-based attitude,Liam Smith,Young Adult,1958,9,2025-06-16,Checked Out,True
978-0-409-91492-4,Cross-group empowering array,Dr Lee Brown,Fiction,1968,10,2016-07-29,Damaged,True
978-1-4022-4806-1,Function-based context-sensitive access,Beth Watson-Fisher,Reference,2007,4,2020-01-17,Missing,True
978-0-00-268397-5,Centralized 4thgeneration knowledgebase,Wendy Armstrong,Young Adult,2024,7,2017-09-13,Missing,True
978-0-13-611506-9,Integrated leadingedge help-desk,Dr Sophie O'Connor,Children,2017,7,2025-07-31,Missing,True
978-0-07-647340-3,Self-enabling disintermediate interface,Annette Whittaker,Reference,2002,3,2016-02-19,Available,True
978-1-85460-081-3,Cloned motivating frame,Miss Sarah Martin,Reference,2004,3,2017-01-30,Available,True
978-1-72615-684-4,Seamless discrete service-desk,Victoria Brooks,Children,1970,7,2024-12-04,Available,True
978-1-63883-486-1,Streamlined demand-driven software,Deborah Barry,Children,1976,6,2021-04-22,Missing,True
978-1-02-528431-6,Distributed zero-defect open system,Miss Pauline O'Neill,Non-Fiction,1973,5,2023-12-10,Missing,True
978-0-529-47239-7,Ameliorated 24/7 system engine,Dr Francis Gallagher,Fiction,2004,4,2025-07-22,Checked Out,True
978-1-244-23311-9,Expanded contextually-based knowledge user,Stuart White,Non-Fiction,1950,1,2016-12-27,Checked Out,True
978-1-9797-0998-9,Stand-alone encompassing hierarchy,Diane Holland,Young Adult,1986,6,2021-07-07,Missing,True
978-1-55427-305-8,Programmable bifurcated installation,Vanessa Holden,Fiction,1964,7,2015-11-15,Damaged,True
978-0-281-59572-3,Optional local website,Dr Ruth Parry,Non-Fiction,1963,9,2020-06-06,Available,True
978-1-912797-28-8,Reactive client-server extranet,Dr Oliver Ward,Reference,2014,6,2025-06-17,Checked Out,True
9780210985564,Inverse mission-critical info-mediaries,Christopher Clark,Young Adult,1952,8,2021-02-09,Reserved,True
978-1-889851-55-6,Self-enabling bandwidth-monitored parallelism,Miss Beverley Adams,Children,1978,6,2021-05-15,Available,True
978-0-7231-4041-2,Managed dynamic hardware,Jayne Spencer-Jones,Young Adult,1969,2,2017-08-05,Checked Out,True
978-0-05-820935-8,Organized explicit forecast,Jasmine Webb,Fiction,2002,3,2025-02-01,Reserved,True
978-0-7141-5804-4,Operative grid-enabled knowledgebase,Lisa Gibson,Young Adult,2010,3,2020-04-02,Reserved,True
978-1-359-79035-4,Multi-tiered grid-enabled budgetary management,Anna Baker,Young Adult,2008,5,2021-10-21,Damaged,True
9780778403104,Multi-layered transitional portal,Mohammed Bowen,Reference,1987,2,2018-03-21,Missing,True
978-0-85804-267-4,Digitized intermediate parallelism,Dr Heather Kirk,Reference,1989,1,2018-10-08,Available,True
978-1-4692-5976-5,Re-contextualized clear-thinking extranet,Miss Jasmine Austin,Children,1951,0,2016-05-15,Checked Out,True
978-0-621-20407-0,Reactive fault-tolerant flexibility,Marie Griffiths,Non-Fiction,2010,3,2016-01-25,Available,True
978-0-539-12040-0,Upgradable neutral analyzer,Ms Rosemary Leach,Non-Fiction,1966,4,2016-06-28,Missing,True
978-0-451-32931-8,Cross-group dynamic knowledgebase,Ashleigh Richardson,Non-Fiction,2006,4,2018-08-19,Damaged,True
978-0-86370-126-9,Proactive upward-trending product,John Williams,Non-Fiction,1991,2,2018-06-18,Checked Out,True
978-0-8248-8314-0,Grass-roots systemic interface,Colin Watkins,Children,2002,1,2024-11-10,Available,True
978-1-01-807949-3,Profound 24/7 service-desk,Mr Stanley Ali,Reference,2015,2,2021-12-24,Available,True
978-1-79576-513-8,Robust intermediate application,Gillian Green,Non-Fiction,2019,0,2017-01-25,Damaged,True
978-1-03-247271-3,Digitized scalable capacity,Suzanne Pearson-Wilson,Reference,1992,8,2023-07-22,Damaged,True
978-1-184-98693-9,Intuitive 24hour circuit,Declan Owen,Non-Fiction,1958,8,2016-10-21,Reserved,True
978-1-7353686-6-5,Optional uniform policy,Mrs Melissa Johnson,Non-Fiction,1958,1,2017-08-07,Available,True
978-1-59110-724-8,Progressive didactic functionalities,Lynne Jones,Non-Fiction,2014,1,2015-11-01,Damaged,True
978-0-7756-5869-9,Universal foreground parallelism,Dr Marc Jones,Young Adult,1953,3,2023-12-22,Damaged,True
978-0-219-76645-4,Realigned actuating Local Area Network,Abbie Peacock,Young Adult,1999,6,2024-05-31,Checked Out,True
978-1-4570-0246-5,Distributed optimal hierarchy,Karl Lamb,Young Adult,1988,7,2024-07-28,Checked Out,True
978-0-19-472594-1,Profound leadingedge workforce,Alex Iqbal,Reference,1959,10,2017-06-15,Checked Out,True
978-0-14-000237-9,Optimized mission-critical data-warehouse,Mrs Sheila Cunningham,Non-Fiction,2003,5,2016-06-18,Missing,True
9781459236493,Robust mobile success,Mathew Evans,Reference,1985,5,2017-01-14,Available,True
978-0-255-95692-5,Fully-configurable asymmetric model,Mr William Young,Non-Fiction,1975,10,2023-04-09,Damaged,True
978-0-560-35183-5,Phased zero tolerance database,Rosie Webb,Reference,1956,2,2025-06-09,Missing,True
978-0-615-04854-3,Profound mission-critical function,Mr Billy Thomas,Children,1953,3,2025-03-22,Damaged,True
978-0-89140-964-9,Open-architected homogeneous focus group,Natasha Moore,Children,1977,5,2025-09-29,Checked Out,True
978-1-5430-7141-2,Organized fault-tolerant methodology,Alexander Reed,Fiction,1975,2,2020-05-24,Reserved,True
9781723661174,Open-architected asynchronous flexibility,Thomas Bartlett,Children,1966,7,2024-03-28,Reserved,True
978-0-498-61117-9,Down-sized encompassing utilization,Maurice Edwards,Young Adult,2007,1,2023-09-09,Missing,True
9781653461929,Function-based 5thgeneration ability,Diane Parker,Children,1956,3,2021-07-27,Available,True
978-1-4817-2673-3,Compatible static circuit,Timothy Abbott,Children,2001,8,2018-04-26,Damaged,True
978-0-17-456026-5,Phased asymmetric function,Suzanne Burrows,Reference,1957,7,2023-01-02,Available,True
978-0-17-864897-6,Cross-platform zero tolerance extranet,Abbie Williams,Non-Fiction,2000,5,2023-06-22,Checked Out,True
978-0-9867800-0-4,Cloned zero tolerance encryption,Nicola Bates,Children,1987,8,2023-07-16,Missing,True
978-0-575-10819-6,Streamlined didactic portal,Helen Davies,Fiction,2014,5,2018-11-06,Checked Out,True
978-1-62695-951-4,Re-contextualized mobile Graphic Interface,Sylvia Preston,Reference,2014,3,2025-05-06,Missing,True
978-1-76909-415-8,Programmable human-resource definition,Carly Chan,Reference,1971,0,2021-07-01,Available,True
978-1-79062-248-1,Virtual asynchronous encoding,Mr Billy Mitchell,Children,1965,4,2018-05-20,Missing,True
978-1-276-51140-7,Diverse 6thgeneration website,Rachael Lynch,Young Adult,2006,7,2022-09-22,Damaged,True
978-0-652-67767-6,Optimized disintermediate orchestration,Mr Dale Perkins,Children,2023,1,2016-01-26,Checked Out,True
978-1-106-28647-5,Self-enabling real-time conglomeration,Patricia Jones,Young Adult,1960,6,2022-11-25,Reserved,True
978-0-14-788244-8,Quality-focused bandwidth-monitored Graphic Interface,Dr Bradley Daniels,Young Adult,2002,5,2018-09-27,Checked Out,True
978-1-945915-11-6,Multi-tiered background encryption,Donna Edwards,Reference,1971,2,2023-07-06,Damaged,True
9780955146237,Ameliorated upward-trending budgetary management,Mr Louis Bennett,Fiction,2022,10,2023-10-22,Reserved,True
978-0-7665-2685-3,Fully-configurable 24/7 intranet,Dr Carl Thomas,Children,2022,10,2022-09-12,Available,True
978-1-64469-024-6,Self-enabling interactive initiative,Miss Aimee Evans,Non-Fiction,2022,4,2017-01-16,Missing,True
978-0-89331-947-2,Streamlined zero administration capacity,Zoe O'Brien,Children,2024,4,2023-01-31,Checked Out,True
9781196314294,Cloned multi-tasking groupware,Georgina Lewis,Children,1990,7,2017-05-01,Damaged,True
978-1-390-81597-9,Stand-alone content-based collaboration,Heather King-Turner,Young Adult,2000,1,2025-05-06,Checked Out,True
978-0-594-29689-8,Horizontal heuristic methodology,Francesca Houghton,Reference,2018,6,2023-05-30,Reserved,True
978-1-07-187097-6,Mandatory client-driven time-frame,Ben Collins,Children,1952,0,2023-04-19,Missing,True
9780971373884,Grass-roots real-time functionalities,Neil Richardson,Fiction,1997,9,2025-08-30,Reserved,True
978-0-584-97277-1,Re-engineered background data-warehouse,Eleanor Brady-Whitehead,Young Adult,2006,8,2024-01-20,Checked Out,True
978-0-616-76456-5,Public-key mission-critical system engine,Dr Joe Parry,Non-Fiction,1976,9,2020-03-14,Reserved,True
978-1-340-58290-6,Seamless solution-oriented website,Dr Peter Cox,Reference,1974,6,2018-10-20,Available,True
978-0-227-35947-1,Configurable fault-tolerant protocol,Miss Alice Woods,Fiction,2024,4,2018-11-05,Available,True
978-0-09-986647-3,Re-engineered real-time secured line,Thomas Arnold,Non-Fiction,2008,0,2020-04-29,Damaged,True
978-1-07-434875-5,Synergized 6thgeneration adapter,Craig Shaw-Lyons,Young Adult,1963,8,2016-04-20,Reserved,True
978-1-59042-168-0,Inverse attitude-oriented utilization,Ms Melanie Hughes,Non-Fiction,2002,0,2017-05-03,Missing,True
978-0-88361-645-1,Synchronized hybrid policy,Nathan Ball,Young Adult,2018,0,2021-04-01,Damaged,True
978-0-611-99588-9,Virtual cohesive focus group,Geraldine King,Non-Fiction,1950,10,2022-04-15,Checked Out,True
978-0-8300-0753-0,Polarized background forecast,Amanda Jones,Fiction,1978,10,2021-09-23,Checked Out,True
9780626443320,Persevering needs-based utilization,Ronald Evans,Reference,2020,1,2018-05-03,Available,True
978-1-277-73023-4,Optimized 6thgeneration encoding,Kirsty Evans,Non-Fiction,1951,9,2020-12-02,Missing,True
978-1-5173-9920-7,Versatile foreground archive,Norman Giles,Young Adult,2000,7,2020-06-15,Damaged,True
978-1-944231-81-1,Cloned even-keeled approach,Maurice Jones,Non-Fiction,2006,2,2018-03-16,Available,True
978-1-56832-670-2,Future-proofed grid-enabled synergy,Dr Anna Kelly,Non-Fiction,2006,3,2018-09-28,Reserved,True
978-1-4722-3030-0,Versatile multi-state groupware,Nathan Parry,Children,2014,3,2025-03-04,Damaged,True
978-0-567-68020-4,Exclusive eco-centric intranet,Nicholas Roberts,Children,2003,7,2018-03-21,Available,True
9780278081086,Realigned motivating toolset,Owen Long,Young Adult,1962,9,2018-11-09,Available,True
978-0-7738-3453-8,Object-based fresh-thinking definition,Dr Julia Briggs,Children,2001,10,2022-11-07,Reserved,True
978-0-505-26866-2,Pre-emptive homogeneous hub,Miss Laura Matthews,Young Adult,1986,3,2015-11-23,Missing,True
978-0-374-00639-6,Devolved encompassing policy,Harriet Harrison-Hartley,Young Adult,2012,7,2025-04-28,Available,True
978-0-8377-4284-7,Down-sized zero tolerance moderator,Dr Samuel Williams,Children,1983,6,2020-09-23,Damaged,True
978-1-56588-469-4,Team-oriented bottom-line moratorium,Georgina Mills,Non-Fiction,1981,1,2018-05-20,Damaged,True
978-0-680-52457-7,Virtual real-time Graphical User Interface,Beverley Thomas,Children,1950,9,2022-03-16,Reserved,True
978-0-7616-5532-9,User-centric contextually-based productivity,Reece Williams,Children,2004,8,2017-07-13,Missing,True
978-0-9762126-6-9,Front-line foreground ability,Dr Susan Fry,Young Adult,1980,10,2023-05-14,Available,True
978-1-66342-833-2,Devolved demand-driven support,Declan Adams-Smith,Children,2016,8,2020-02-25,Damaged,True
978-0-7119-1820-7,User-friendly impactful ability,Stacey Burns-Holland,Reference,1965,0,2020-02-13,Checked Out,True
978-0-01-134826-1,Multi-layered upward-trending groupware,Mary Wilkinson,Children,1977,1,2025-01-04,Checked Out,True
9780481957147,Universal impactful emulation,Frank Day,Reference,1972,6,2015-11-30,Damaged,True
978-1-297-09650-1,Configurable maximized leverage,June Smith,Non-Fiction,1990,4,2021-01-21,Damaged,True
978-0-9769113-1-9,Progressive zero administration monitoring,Pauline Palmer,Reference,1956,10,2022-11-25,Available,True
978-0-7838-1645-6,Focused methodical initiative,Mrs Pamela Griffiths,Reference,1991,8,2024-04-27,Available,True
978-0-374-25871-9,Cross-platform incremental methodology,Natasha Ellis,Children,1951,1,2017-06-25,Reserved,True
